Semaine,Nouveaux Emails Uniques,Total Emails Uniques
Semaine 1 (1 février au 7 février),6,6
Semaine 2 (8 février au 14 février),2,8
Semaine 3 (15 février au 21 février),7,15
Semaine 5 (1 mars au 7 mars),2,17
Semaine 6 (8 mars au 14 mars),1,18
Semaine 7 (15 mars au 21 mars),4,22
Semaine 11 (12 avril au 18 avril),3,25
