Week,New Unique Emails,Total Unique Emails
Week 1 (Feb 1-Feb 7),6,6
Week 2 (Feb 8-Feb 14),2,8
Week 3 (Feb 15-Feb 21),7,15
Week 5 (Mar 1-Mar 7),2,17
Week 6 (Mar 8-Mar 14),1,18
Week 7 (Mar 15-Mar 21),4,22
Week 11 (Apr 12-Apr 18),3,25
